# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
hyvää	huomenta	1500000
hyvää	päivää	1200000
kiitos	paljon	1500000
ole	hyvä	1100000
en	tiedä	1500000
minä	luulen	1000000
se	on	1700000
nähdään	huomenna	1100000
erittäin	hyvä	900000
ilman	ongelmaa	700000
kerro	kun	1400000
työn	jälkeen	1400000
kokous	alkaa	900000
asiakas	kysyy	1400000
juna	lähtee	1400000
apteekki	sulkee	1400000
perhe	tulee	1400000
puhelin	latautuu	1400000
huomenna	aamulla	1400000
kotona	myöhemmin	700000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
eiffelin	torni	900000
ennen	kokousta	1400000
tänä	iltana	1400000
tällä	viikolla	1400000
perheen	kanssa	1400000
koska	se	1400000
on	tärkeää	1400000
kun	sinulla	1400000
sinulla	on	1400000
on	aikaa	1400000
hei	voitko	1400000
luulen	että	1400000
lähetä	minulle	1400000
kiitos	tästä	1400000
älä	unohda	1400000
nopea	muistiinpano	1400000
pitää	tarkistaa	1400000
kokous	koskee	1400000
pitää	lähettää	1400000
raportti	mainitsee	1400000
äiti	kysyy	1400000
isä	voi	1400000
voi	hakea	1400000
lapset	haluavat	1400000
pitää	varata	1400000
lippu	on	1400000
asema	on	1400000
hotelli	vahvistaa	1400000
bussi	saapuu	1400000
metro	kulkee	1400000
säilytä	lippu	1400000
reitti	muuttuu	1400000
taksi	odottaa	1400000
tunti	alkaa	1400000
opettaja	mainitsee	1400000
tehtävä	koskee	1400000
koulu	sulkee	1400000
koe	vaatii	1400000
lääkäri	vahvistaa	1400000
pitää	hakea	1400000
aika	on	1400000
resepti	jää	1400000
pitää	ostaa	1400000
ostokset	sisältävät	1400000
tilaus	tulee	1400000
hinta	muuttuu	1400000
kahvi	on	1400000
illallinen	on	1400000
resepti	käyttää	1400000
rukous	alkaa	1400000
perhe	menee	1400000
viesti	kertoo	1400000
kirkko	avaa	1400000
kirja	lainaa	1400000
oikeus	odottaa	1400000
asianajaja	valmistaa	1400000
laki	muuttaa	1400000
poliisi	säilyttää	1400000
tuomari	pyytää	1400000
hallitus	valmistaa	1400000
ministeri	puhuu	1400000
äänestys	alkaa	1400000
puolue	vastaa	1400000
kaupunki	muuttaa	1400000
ottelu	alkaa	1400000
joukkue	harjoittelee	1400000
pelaaja	tarkistaa	1400000
stadion	avaa	1400000
kilpailu	kulkee	1400000
vuokra	maksetaan	1400000
tarkista	lasku	1400000
budjetti	kattaa	1400000
pankki	vahvistaa	1400000
säilytä	vakuutus	1400000
talo	tarvitsee	1400000
korjaus	vaatii	1400000
internet	toimii	1400000
avain	jää	1400000
muutto	käyttää	1400000
elokuva	alkaa	1400000
musiikki	jatkuu	1400000
podcast	kertoo	1400000
sarja	tulee	1400000
peli	toimii	1400000
tiedosto	jää	1400000
sivu	näyttää	1400000
salasana	toimii	1400000
päivitys	on	1400000
museo	näyttää	1400000
kirja	selittää	1400000
historia	mainitsee	1400000
tiede	vaatii	1400000
maalaus	jää	1400000
soita	kun	1400000
aika	muuttuu	1400000
tallenna	osoite	1400000
kalenteri	vahvistaa	1400000
viesti	koskee	1400000
