# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
bom	dia	1600000
boa	tarde	900000
boa	noite	900000
muito	obrigado	1400000
muito	obrigada	900000
por	favor	1800000
tudo	bem	1600000
não	sei	1500000
não	quero	900000
eu	acho	1400000
eu	tenho	900000
você	pode	1400000
até	logo	1400000
até	amanhã	1400000
de	acordo	1100000
com	certeza	1000000
muito	bem	1400000
às	vezes	800000
por	exemplo	900000
sem	problema	1400000
governo	prepara	1400000
médico	falou	1400000
música	continua	1400000
jogo	funciona	1400000
consulta	muda	1400000
atualização	está	1400000
site	mostra	1400000
orçamento	fica	1400000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
torre	eiffel	900000
cristo	redentor	900000
antes	da	1400000
da	reunião	1400000
depois	do	1400000
do	trabalho	1400000
amanhã	de	1400000
de	manhã	1400000
hoje	noite	1400000
esta	semana	1400000
em	casa	1400000
com	família	1400000
porque	importante	1400000
quando	você	1400000
você	tiver	1400000
tiver	tempo	1400000
olá	você	1400000
oi	eu	1400000
eu	queria	1400000
me	avisa	1400000
avisa	quando	1400000
acho	que	1400000
diz	quando	1400000
quando	puder	1400000
não	esquecer	1400000
nota	rápida	1400000
rápida	sobre	1400000
precisa	verificar	1400000
para	amanhã	1400000
cliente	pede	1400000
reunião	sobre	1400000
precisa	enviar	1400000
vou	preparar	1400000
obrigado	por	1400000
por	compartilhar	1400000
mãe	pergunta	1400000
pai	pode	1400000
pode	vir	1400000
as	crianças	1400000
crianças	querem	1400000
família	chega	1400000
gente	se	1400000
se	vê	1400000
trem	sai	1400000
preciso	pegar	1400000
vamos	reservar	1400000
passagem	para	1400000
estação	está	1400000
aula	começa	1400000
precisa	ler	1400000
professor	falou	1400000
tarefa	para	1400000
escola	fecha	1400000
preciso	ligar	1400000
farmácia	fecha	1400000
preciso	de	1400000
precisa	comprar	1400000
as	compras	1400000
compras	estão	1400000
vou	levar	1400000
vamos	comer	1400000
eu	preparo	1400000
jantar	vai	1400000
café	está	1400000
por	colocar	1400000
amanhã	para	1400000
desculpa	pelo	1400000
está	muito	1400000
oi	tudo	1400000
sinceramente	acho	1400000
respondo	rápido	1400000
oração	começa	1400000
família	vai	1400000
mensagem	fala	1400000
mesquita	abre	1400000
livro	cita	1400000
mapa	mostra	1400000
cidade	está	1400000
montanha	fica	1400000
rota	passa	1400000
capital	muda	1400000
tribunal	espera	1400000
advogado	prepara	1400000
lei	muda	1400000
polícia	guarda	1400000
juiz	pede	1400000
ministro	fala	1400000
voto	começa	1400000
