# Generated by scripts/generate_multilingual_keyboard_assets.py
# Source: wordfreq top_n_list/zipf_frequency; see script header.
# Format: word<TAB>frequency
il	1000000
l	1000000
li	1000000
tal	1000000
u	1000000
ta	523479
fil	423264
fl	419844
kien	417000
mill	329696
minn	315555
ma	314479
fuq	242354
biex	241201
dan	237358
għall	223832
għal	213611
wara	204619
qed	187404
it	183446
tiegħu	174608
huwa	167730
is	149631
kienu	144982
kienet	142830
hu	142484
din	142253
se	138987
bħala	134030
hemm	131340
ewwel	131187
lil	130687
meta	129496
sena	126998
kif	124616
qal	124539
id	120581
ukoll	116931
mal	112204
huma	109514
fejn	109438
tas	108208
lill	107363
aktar	102329
ir	100869
fi	98986
dwar	97871
t	93222
fit	90570
dawn	90532
bil	90109
tat	89648
fis	89225
malta	87612
aħħar	84922
gvern	83231
xi	82578
oħra	82040
ħafna	80887
jew	80272
hija	79273
iżda	75623
wieħed	73624
mhux	72241
s	69129
wkoll	68552
kontra	68168
ġie	67668
tagħhom	67092
bejn	66977
ministru	66592
tad	64517
d	62635
tagħha	62250
biss	61712
jkun	61635
żewġ	60905
r	60406
hi	59368
kollha	58523
jekk	58254
partit	58139
dak	57793
qabel	56679
bl	56448
pulizija	55257
tim	54757
snin	54719
kellu	54527
in	53412
hekk	53374
istess	52528
minħabba	52144
żmien	51722
waqt	51184
kull	50646
lejn	50492
fid	50453
iż	50185
post	50069
iktar	47917
qorti	47917
għandu	47456
min	47379
ftit	46995
tar	46918
dawk	44805
nies	43998
każ	43959
tieni	43345
imma	42730
ix	42576
tkun	41346
pajjiż	41308
belt	41270
filwaqt	41231
waħda	40847
matul	40693
saħħa	40347
persuni	40155
sar	39348
ġew	39233
nazzjonalista	38695
ġdid	38541
kemm	38234
tliet	38234
taħt	38119
ikun	37504
prim	37389
qalet	37389
diversi	36966
klabb	36966
fost	36889
numru	36812
madwar	36390
ġiet	36313
sa	35967
san	35813
persuna	35621
parti	34891
issa	34776
xogħol	34622
għax	34584
istaġun	34315
covid	34238
fir	34238
darba	34199
barra	34122
sabiex	34007
flimkien	33162
dinja	31817
permezz	31778
kap	31740
nazzjonali	31740
beda	31433
għandhom	31202
bi	30741
jkunu	30510
b'mod	30357
tan	30241
ieħor	30088
ebda	30049
għamel	29780
minkejja	29473
lura	29319
knisja	29242
president	29242
kbira	29165
saret	28627
abela	28551
quddiem	28512
bħal	28397
jiġu	28397
għat	28013
kellhom	27705
malti	27513
jiġi	27436
sal	27359
tax	26975
għandha	26053
raġel	26053
jgħid	25938
nhar	25553
ġenerali	25553
avukat	25284
kampjonat	25208
skont	25169
ġimgħa	25054
kienx	24631
mit	24477
grech	24439
dar	23901
triq	23901
ħin	23786
membri	23632
muscat	23517
fenech	23402
n	23402
coronavirus	23248
isem	23248
ilu	23209
kbir	23171
fatt	23133
kellha	23056
oħrajn	22902
ħadd	22787
bidu	22402
għalhekk	22402
grupp	22364
importanti	22364
qatt	22364
isptar	22326
ħajja	22326
robert	22287
billi	22249
naħa	22249
għas	22172
kollu	22172
jagħmel	22133
mingħajr	22095
logħba	22018
saru	21826
pajjiżi	21788
familja	21672
laburista	21634
f'dan	21595
jistgħu	21595
x	21519
anke	21326
dejjem	21250
finali	21211
gowl	21173
maltin	21173
b'hekk	21058
għaliex	20981
eks	20904
f'malta	20904
minuta	20827
pandemija	20789
jidher	20750
art	20712
seklu	20558
caruana	20366
iċ	20366
dik	20289
każi	20289
xejn	20135
de	19866
magħruf	19789
illum	19751
mar	19713
ħa	19636
deputat	19213
minnhom	19175
mod	18944
mis	18829
ħames	18829
lokali	18790
għadda	18714
poplu	18598
fosthom	18445
għad	18445
parlament	18445
jinsab	18329
xhur	18329
hawn	18099
mara	18099
kollox	18022
tiġi	17945
ġodda	17945
għadu	17830
bżonn	17753
għalkemm	17638
tielet	17638
kompla	17599
uffiċjali	17561
plejer	17484
delia	17292
ikunu	17215
kumpanija	17138
sitwazzjoni	17138
miljun	17061
tnejn	17061
flus	17023
madankollu	16946
futbol	16792
politika	16792
iżjed	16715
joseph	16715
mid	16715
rebħa	16715
partita	16677
differenti	16639
internazzjonali	16600
soċjali	16600
ġewwa	16600
aqwa	16485
kunsill	16446
aħjar	16408
ħaddiema	16408
tfal	16370
jieħu	16331
seħħ	16331
stess	16216
bdiet	16062
tul	15985
jagħmlu	15908
jaf	15870
papa	15870
pajjiżna	15832
istati	15793
mat	15793
milli	15755
fih	15678
ministeru	15678
ġurnata	15678
llum	15639
taż	15447
tmiem	15409
għajnuna	15370
membru	15370
informazzjoni	15332
kbar	15294
tard	15294
bdew	15217
tant	15217
istorja	15178
nofs	15178
gwerra	15101
tagħna	15101
għar	15063
tajjeb	15063
bla	14948
ħareġ	14832
ż	14832
awtoritajiet	14794
fiha	14756
sostna	14756
schembri	14717
għan	14679
magħrufa	14679
marzu	14679
elezzjoni	14602
ewropea	14602
f'din	14602
inqas	14602
baħar	14448
skorja	14410
galizia	14371
liġi	14371
tazza	14371
sehem	14333
jagħti	14256
maltija	14179
sistema	14064
sitt	14026
bosta	13987
proġett	13910
akbar	13872
jum	13795
fix	13757
ftehim	13757
perjodu	13680
ewropa	13564
fin	13564
inkjesta	13564
rebħu	13564
gżira	13488
pubbliku	13488
xahar	13449
settembru	13372
miet	13334
anki	13295
renju	13295
lulju	13257
laqgħa	13219
bit	13103
oppożizzjoni	13103
qrib	13065
uniti	13065
żgħażagħ	12950
gowls	12834
isir	12834
mir	12834
stqarrija	12834
rebaħ	12719
jiem	12681
unit	12681
parlamentari	12642
ġdida	12642
jinsabu	12604
għadd	12527
timijiet	12527
kulħadd	12488
repubblika	12488
jaħdem	12450
italja	12412
kważi	12373
mil	12373
yorgen	12335
jista	12296
maġistrat	12296
ssir	12296
daphne	12258
jsir	12258
virus	12258
istat	12220
plejers	12220
talba	12220
valletta	12220
adrian	12181
affarijiet	12181
siegħa	12181
għadhom	12143
tgħid	12143
kowċ	12104
ilma	12066
karozza	11989
sakemm	11989
deċiżjoni	11912
rapport	11874
novembru	11835
diġà	11797
mizzi	11797
kuntratt	11720
ottubru	11720
akkużat	11682
għawdex	11682
iskola	11682
livell	11682
total	11682
vittma	11682
mewt	11643
a	11566
bernard	11566
