# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
dobro	jutro	1500000
dober	dan	1300000
hvala	lepa	1400000
prosim	te	1300000
ne	vem	1500000
mislim	da	1400000
v	redu	1200000
se	vidimo	1400000
zelo	dobro	1000000
na	primer	900000
brez	težav	900000
javi	se	900000
po	službi	1400000
sestanek	se	900000
stranka	sprašuje	1400000
vlak	odhaja	1400000
lekarna	zapira	1400000
družina	pride	1400000
telefon	se	1400000
jutri	zjutraj	1400000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
eifflov	stolp	900000
pred	sestankom	1400000
danes	zvečer	1400000
ta	teden	1400000
ker	je	1400000
je	pomembno	1400000
ko	imaš	1400000
imaš	čas	1400000
živjo	lahko	1400000
javi	ko	1400000
pošlji	mi	1400000
hvala	za	1400000
ne	pozabi	1400000
hitra	opomba	1400000
treba	preveriti	1400000
za	jutri	1400000
opomni	me	1400000
treba	poslati	1400000
poročilo	omenja	1400000
mama	sprašuje	1400000
oče	lahko	1400000
lahko	vzame	1400000
otroci	želijo	1400000
treba	rezervirati	1400000
vozovnica	za	1400000
postaja	ima	1400000
hotel	potrjuje	1400000
avtobus	pride	1400000
metro	ima	1400000
shrani	vozovnico	1400000
pot	se	1400000
se	spreminja	1400000
taksi	čaka	1400000
ura	se	1400000
se	začne	1400000
učitelj	omenja	1400000
naloga	je	1400000
šola	zapira	1400000
izpit	zahteva	1400000
zdravnik	potrjuje	1400000
moram	prevzeti	1400000
termin	je	1400000
je	za	1400000
recept	ostane	1400000
treba	kupiti	1400000
nakup	vključuje	1400000
naročilo	pride	1400000
cena	se	1400000
kava	je	1400000
večerja	bo	1400000
recept	uporablja	1400000
molitev	se	1400000
družina	gre	1400000
sporočilo	govori	1400000
cerkev	odpira	1400000
knjiga	citira	1400000
sodišče	čaka	1400000
odvetnik	pripravlja	1400000
zakon	spreminja	1400000
policija	hrani	1400000
sodnik	zahteva	1400000
vlada	pripravlja	1400000
minister	govori	1400000
glasovanje	se	1400000
stranka	odgovarja	1400000
mesto	spreminja	1400000
tekma	se	1400000
ekipa	trenira	1400000
igralec	preverja	1400000
stadion	odpira	1400000
dirka	gre	1400000
najemnina	se	1400000
se	plača	1400000
preveri	račun	1400000
proračun	pokriva	1400000
banka	potrjuje	1400000
shrani	zavarovanje	1400000
hiša	potrebuje	1400000
popravilo	zahteva	1400000
internet	deluje	1400000
ključ	ostane	1400000
selitev	uporablja	1400000
film	se	1400000
glasba	nadaljuje	1400000
podcast	govori	1400000
serija	pride	1400000
igra	deluje	1400000
se	polni	1400000
datoteka	ostane	1400000
stran	kaže	1400000
geslo	deluje	1400000
posodobitev	je	1400000
muzej	prikazuje	1400000
knjiga	razlaga	1400000
zgodovina	omenja	1400000
znanost	zahteva	1400000
slika	ostane	1400000
pokliči	ko	1400000
termin	se	1400000
shrani	naslov	1400000
koledar	potrjuje	1400000
sporočilo	je	1400000
rojstni	dan	1400000
lahko	sporočilo	1400000
lahko	odgovor	1400000
lahko	fotografija	1400000
lahko	telefon	1400000
lahko	termin	1400000
da	sporočilo	1400000
da	odgovor	1400000
da	fotografija	1400000
da	telefon	1400000
da	termin	1400000
ko	sporočilo	1400000
ko	odgovor	1400000
ko	fotografija	1400000
ko	telefon	1400000
ko	termin	1400000
mi	sporočilo	1400000
mi	odgovor	1400000
mi	fotografija	1400000
mi	telefon	1400000
mi	termin	1400000
za	sporočilo	1400000
za	odgovor	1400000
za	fotografija	1400000
za	telefon	1400000
za	termin	1400000
sporočilo	sporočilo	1400000
sporočilo	odgovor	1400000
sporočilo	fotografija	1400000
sporočilo	telefon	1400000
sporočilo	termin	1400000
sporočilo	pred	1400000
sporočilo	po	1400000
sporočilo	jutri	1400000
sporočilo	danes	1400000
sporočilo	ta	1400000
sporočilo	doma	1400000
sporočilo	družino	1400000
sporočilo	ker	1400000
sporočilo	ko	1400000
sporočilo	prosim	1400000
sporočilo	in	1400000
in	sporočilo	1400000
in	odgovor	1400000
in	fotografija	1400000
in	telefon	1400000
in	termin	1400000
odgovor	sporočilo	1400000
odgovor	odgovor	1400000
odgovor	fotografija	1400000
odgovor	telefon	1400000
odgovor	termin	1400000
odgovor	pred	1400000
odgovor	po	1400000
odgovor	jutri	1400000
odgovor	danes	1400000
odgovor	ta	1400000
odgovor	doma	1400000
odgovor	družino	1400000
odgovor	ker	1400000
odgovor	ko	1400000
odgovor	prosim	1400000
odgovor	in	1400000
fotografija	sporočilo	1400000
fotografija	odgovor	1400000
fotografija	fotografija	1400000
fotografija	telefon	1400000
fotografija	termin	1400000
fotografija	pred	1400000
fotografija	po	1400000
fotografija	jutri	1400000
fotografija	danes	1400000
fotografija	ta	1400000
fotografija	doma	1400000
fotografija	družino	1400000
fotografija	ker	1400000
fotografija	ko	1400000
fotografija	prosim	1400000
fotografija	in	1400000
telefon	sporočilo	1400000
telefon	odgovor	1400000
telefon	fotografija	1400000
telefon	telefon	1400000
telefon	termin	1400000
telefon	pred	1400000
telefon	po	1400000
telefon	jutri	1400000
telefon	danes	1400000
telefon	ta	1400000
telefon	doma	1400000
telefon	družino	1400000
telefon	ker	1400000
telefon	ko	1400000
telefon	prosim	1400000
telefon	in	1400000
termin	sporočilo	1400000
termin	odgovor	1400000
termin	fotografija	1400000
termin	telefon	1400000
termin	termin	1400000
termin	pred	1400000
termin	po	1400000
termin	jutri	1400000
termin	danes	1400000
termin	ta	1400000
termin	doma	1400000
termin	družino	1400000
termin	ker	1400000
termin	ko	1400000
termin	prosim	1400000
termin	in	1400000
pozabi	seznam	1400000
pozabi	dokument	1400000
pozabi	težava	1400000
pozabi	hiša	1400000
pozabi	koledar	1400000
opomba	seznam	1400000
opomba	dokument	1400000
opomba	težava	1400000
opomba	hiša	1400000
opomba	koledar	1400000
preveriti	seznam	1400000
preveriti	dokument	1400000
preveriti	težava	1400000
preveriti	hiša	1400000
preveriti	koledar	1400000
jutri	seznam	1400000
jutri	dokument	1400000
jutri	težava	1400000
