# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
dobrý	den	1500000
dobré	ráno	1000000
děkuji	moc	1400000
prosím	tě	1200000
já	vím	1300000
já	myslím	1100000
to	je	1700000
uvidíme	se	1400000
velmi	dobře	1100000
bez	problému	900000
dej	vědět	1400000
po	práci	1400000
schůzka	začíná	900000
klient	žádá	1400000
vlak	odjíždí	1400000
lékárna	zavírá	1400000
rodina	přijede	1400000
telefon	nabíjí	700000
zítra	ráno	1400000
doma	později	700000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
eiffelova	věž	900000
před	schůzkou	1400000
dnes	večer	1400000
tento	týden	1400000
protože	je	1400000
je	to	1400000
to	důležité	1400000
když	máš	1400000
máš	čas	1400000
ahoj	můžeš	1400000
myslím	že	1400000
vědět	kdy	1400000
pošli	mi	1400000
děkuji	za	1400000
rychlá	poznámka	1400000
musíme	zkontrolovat	1400000
na	zítra	1400000
připomeň	mi	1400000
musíme	poslat	1400000
zpráva	zmiňuje	1400000
máma	se	1400000
se	ptá	1400000
ptá	na	1400000
táta	může	1400000
může	vzít	1400000
děti	chtějí	1400000
odjíždí	do	1400000
musíme	rezervovat	1400000
jízdenka	na	1400000
stanice	má	1400000
hotel	potvrzuje	1400000
autobus	přijede	1400000
metro	má	1400000
ulož	jízdenku	1400000
jízdenku	na	1400000
trasa	se	1400000
se	mění	1400000
mění	na	1400000
taxík	čeká	1400000
hodina	začíná	1400000
učitel	zmiňuje	1400000
úkol	je	1400000
škola	zavírá	1400000
zkouška	vyžaduje	1400000
lékař	potvrzuje	1400000
zavírá	pro	1400000
musím	vyzvednout	1400000
termín	je	1400000
je	pro	1400000
recept	zůstává	1400000
musíme	koupit	1400000
nákup	obsahuje	1400000
objednávka	přijde	1400000
cena	se	1400000
mění	pro	1400000
káva	je	1400000
večeře	bude	1400000
recept	používá	1400000
modlitba	začíná	1400000
začíná	před	1400000
rodina	jde	1400000
jde	do	1400000
zpráva	mluví	1400000
kostel	otevírá	1400000
otevírá	pro	1400000
kniha	cituje	1400000
soud	čeká	1400000
čeká	na	1400000
advokát	připravuje	1400000
zákon	mění	1400000
policie	ukládá	1400000
soudce	žádá	1400000
vláda	připravuje	1400000
ministr	mluví	1400000
hlasování	začíná	1400000
strana	odpovídá	1400000
odpovídá	na	1400000
město	mění	1400000
zápas	začíná	1400000
tým	trénuje	1400000
trénuje	na	1400000
hráč	kontroluje	1400000
stadion	otevírá	1400000
závod	vede	1400000
vede	přes	1400000
nájem	se	1400000
se	platí	1400000
platí	za	1400000
zkontroluj	účet	1400000
