# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
dzień	dobry	1500000
dobry	wieczór	900000
dobranoc	do	600000
dziękuję	bardzo	1500000
proszę	bardzo	1000000
nie	wiem	1600000
nie	chcę	900000
w	porządku	1000000
do	jutra	1400000
do	zobaczenia	1400000
bardzo	dobrze	1400000
na	przykład	900000
bez	problemu	800000
daj	znać	1400000
mam	nadzieję	800000
po	pracy	1400000
w	domu	900000
ta	sprawa	700000
to	jest	1300000
z	rodziną	700000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
wieża	eiffla	900000
przed	spotkaniem	1400000
jutro	rano	1400000
dziś	wieczorem	1400000
tym	tygodniu	1400000
bo	to	1400000
to	ważne	1400000
kiedy	masz	1400000
masz	czas	1400000
cześć	możesz	1400000
hej	chcę	1400000
znać	kiedy	1400000
myślę	że	1400000
napisz	kiedy	1400000
nie	zapomnieć	1400000
krótka	notatka	1400000
trzeba	sprawdzić	1400000
na	jutro	1400000
klient	prosi	1400000
trzeba	wysłać	1400000
dziękuję	za	1400000
za	udostępnienie	1400000
mama	pyta	1400000
tata	może	1400000
może	przyjść	1400000
dzieci	chcą	1400000
rodzina	przyjeżdża	1400000
widzimy	się	1400000
pociąg	odjeżdża	1400000
muszę	złapać	1400000
bilet	do	1400000
stacja	jest	1400000
lekcja	zaczyna	1400000
zaczyna	się	1400000
trzeba	przeczytać	1400000
nauczyciel	powiedział	1400000
zadanie	na	1400000
szkoła	zamyka	1400000
muszę	zadzwonić	1400000
lekarz	powiedział	1400000
apteka	zamyka	1400000
wizyta	jest	1400000
trzeba	kupić	1400000
zakupy	są	1400000
będziemy	jeść	1400000
kolacja	będzie	1400000
kawa	jest	1400000
dzięki	za	1400000
za	postawienie	1400000
bardzo	dziękuję	1400000
jutra	na	1400000
przepraszam	za	1400000
jest	bardzo	1400000
cześć	co	1400000
co	słychać	1400000
szczerze	myślę	1400000
